Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
Donway Nurse Call,44228,Accrual sheet to be sent to PM in August.,,#N/A
McGarrell Place Fire System,43983,Accrual sheet to be sent to PM in August.,,#N/A
Miller Crossing Phone System,44357,Accrual sheet to be sent to PM in August.,,#N/A
Retirement eMar Implementation,43831,,,#N/A
Site Switches LE1040,44357,Accrual sheet to be sent to PM in August.,,#N/A
Site Switches LE1042,44357,Accrual sheet to be sent to PM in August.,,#N/A
Azure 365 License,44256,Accrual sheet to be sent to PM in August.,,#N/A
Quotation Proposal,44256,Accrual sheet to be sent to PM in August.,,#N/A
LiveWell,44256,Accrual sheet to be sent to PM in August.,,#N/A
Talkdesk,44357,Accrual sheet to be sent to PM in August.,,#N/A
COVID-19 Emergency Agency,44357,Accrual sheet to be sent to PM in August.,,#N/A
COVID-19 Test Tracking - Phase I,44044,Accrual sheet to be sent to PM in August.,,#N/A
Ridgeview - Roof,43983,Accrual sheet to be sent to PM in August.,,Tim Morrison
King Gardens Chiller,44166,Accrual sheet to be sent to PM in August.,,Clint Stephenson
LTC Resident Safety System,43983,Accrual sheet to be sent to PM in August.,,#N/A
Cedardroft Generator,44277,Accrual sheet to be sent to PM in August.,,#N/A
HealthConnex Regal,44357,Accrual sheet to be sent to PM in August.,,#N/A
HealthConnex RET-JV,44357,Accrual sheet to be sent to PM in August.,,#N/A
LE1002 Carts Retrofit,44256,Accrual sheet to be sent to PM in August.,,#N/A
LE2503 Rubbermaid Retro Fit Cart,44348,Accrual sheet to be sent to PM in August.,,#N/A
LE1002 Rubbermaid Retro Fit Cart,44348,Accrual sheet to be sent to PM in August.,,#N/A
LE1043 Rubbermaid Retro Fit Cart,44348,Accrual sheet to be sent to PM in August.,,#N/A
Victoria Place Awning,Completion check Sent in Jan 2021,Completion check to be sent in August.,,#N/A
Telephone Replacement LTC JV BC,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Fosterbrooke,44357,Accrual sheet to be sent to PM in August.,,#N/A
Dover Cliffs Telephone Replacement,44357,Accrual sheet to be sent to PM in August.,,#N/A
Heartwood Telephone Replacement,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Humber Valley,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Centennial Park Place,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Queenswood,44357,Accrual sheet to be sent to PM in August.,,#N/A
Heritage Lodge Telephone Replacement,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Alta Vista,44357,Accrual sheet to be sent to PM in August.,,#N/A
McKenzie Towne Telephone,44357,Accrual sheet to be sent to PM in August.,,#N/A
Barrhaven Telephone,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Grandwood Park,44357,Accrual sheet to be sent to PM in August.,,#N/A
Greenway Telephone,44357,Accrual sheet to be sent to PM in August.,,#N/A
Portobello Telephone,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Prince of Wales,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Valley Stream,44357,Accrual sheet to be sent to PM in August.,,#N/A
Telephone Replacement - Windsor Park,44357,Accrual sheet to be sent to PM in August.,,#N/A
Appleby Bldg Development,Development Project,,,#N/A
PRJ-2020-000434,44348,Accrual sheet to be sent to PM in August.,,#N/A
Greenway - FFE,44357,Accrual sheet to be sent to PM in August.,,#N/A
Appleby Place - Generator Upgr,44357,Accrual sheet to be sent to PM in August.,,#N/A
Endpoint Device Security - 2021,Not Complete as of 06/10/2021,Completion check to be sent in August.,,#N/A
Trafalgar Lodge - 2021 - Food Processor,44375,Accrual sheet to be sent to PM in August.,,#N/A
Portsmouth - 2021 - Bearing motor and pully replacement AHU east and west side,44356,Accrual sheet to be sent to PM in August.,,#N/A
Wellington - 2021 - Backflow Replacement,44356,Accrual sheet to be sent to PM in August.,,#N/A
Our Parents Home - 2021 - Pro-Forma maintenance Capex as required CMTS leadership.,44348,Accrual sheet to be sent to PM in August.,,#N/A
Main Street- 2021-Arjo Tub bar,44348,Accrual sheet to be sent to PM in August.,,#N/A
The Churchill HVAC Upgrades,44348,Accrual sheet to be sent to PM in August.,,#N/A
Hunt Club - 2021 - Housekeeping Equipment,44348,Accrual sheet to be sent to PM in August.,,#N/A
Alta Vista - 2021 - HVAC,44348,Accrual sheet to be sent to PM in August.,,#N/A
The Edgemont - 2021 - Hydronic heating repairs suite 227,44348,Accrual sheet to be sent to PM in August.,,#N/A
Chateau Renoir - 2021 - glycol shaft seal failure,44348,Accrual sheet to be sent to PM in August.,,#N/A
Chateau Renoir - 2021 - Heat Exchanger,44348,Accrual sheet to be sent to PM in August.,,#N/A
Charleswood - Roof,44348,Accrual sheet to be sent to PM in August.,,Alex Bruce
McKenzie Towne - 2021 - Bed replacement,44348,Accrual sheet to be sent to PM in August.,,#N/A
Robertson House - 2021 - Fire & Life Safety,New,Completion check to be sent in August.,,#N/A
Robertson House - 2021 - Fire Inspection Order,New,Completion check to be sent in August.,,#N/A
Barrhaven - 2021 - Heating/Cooling Units,44348,Accrual sheet to be sent to PM in August.,,#N/A
Prince of Wales - 2021 - Carpet Cleaner,44348,Accrual sheet to be sent to PM in August.,,#N/A
Westwood - 2021 - Pneumatic Compressor Assembly,44348,Accrual sheet to be sent to PM in August.,,#N/A
St.Lawrence Place - 2021 - Kitchen MUA,44348,Accrual sheet to be sent to PM in August.,,#N/A
St.Lawrence Place - 2021 -Kitchen Hood Exhaust,44348,Accrual sheet to be sent to PM in August.,,#N/A
Stittsville Manor - 2021 - Heating/Cooling Units,44348,Accrual sheet to be sent to PM in August.,,#N/A
Valley Stream - 2021 - DHW Tank Replacement,44348,Accrual sheet to be sent to PM in August.,,#N/A
Prince of Wales - 2021 - Windows,44348,Accrual sheet to be sent to PM in August.,,#N/A
Barrhaven - 2021 - Ductless Split,44348,Accrual sheet to be sent to PM in August.,,#N/A
The Westwood - 2021 - Generator,44348,Accrual sheet to be sent to PM in August.,,#N/A
Colonel By - 2021 - Generator,44348,Accrual sheet to be sent to PM in August.,,#N/A
Barrhaven - 2021 - Generator Radiator,44348,Accrual sheet to be sent to PM in August.,,#N/A
Longfields - 2021 - Recirc Pump,44348,Accrual sheet to be sent to PM in August.,,#N/A
Longfields - 2021 - RTU Controllers,44348,Accrual sheet to be sent to PM in August.,,#N/A
Arbutus - 2021 - FF&E,44348,Accrual sheet to be sent to PM in August.,,#N/A
Capilano - 2021 - Amenity Spaces FF&E,44348,Accrual sheet to be sent to PM in August.,,#N/A
Fleetwood Villa - 2021 - HVAC 1,44348,Accrual sheet to be sent to PM in August.,,#N/A
Royal City Manor - 2019 - Bathing Room,44348,Accrual sheet to be sent to PM in August.,,#N/A
Holyrood Manor - 2021 - Bathroom Upgrades,44348,Accrual sheet to be sent to PM in August.,,#N/A
Greenway - FFE,44348,Accrual sheet to be sent to PM in August.,,#N/A
Greenway - Renovation,44348,Accrual sheet to be sent to PM in August.,,#N/A
Chatham - 2021 - Plumbing,44348,Accrual sheet to be sent to PM in August.,,#N/A
Appleby Place - Generator Upgr,44348,Accrual sheet to be sent to PM in August.,,#N/A
Pinecrest Manor - 2021 - FF&E,44355,Accrual sheet to be sent to PM in August.,,#N/A
Brierwood Gardens - 2021 - Q2/Q4 Minor Capital Fund C,N/A - Minor Capital Fund,,,Tim Morrison
Baywoods Place - 2021 - Q2/Q4 Minor Capital Fund C,N/A - Minor Capital Fund,,,#N/A
Columbia Forest-2021-Boiler Damper Actuator,44355,Accrual sheet to be sent to PM in August.,,#N/A
The Franklin - 2021 - Convection Oven,44348,Accrual sheet to be sent to PM in August.,,#N/A
Renaissance - 2021 - Convection Oven,44348,Accrual sheet to be sent to PM in August.,,#N/A
Renaissance - 2021 - Slicer,44348,Accrual sheet to be sent to PM in August.,,#N/A
The Kensington BC - 2021 - Steamer,44348,Accrual sheet to be sent to PM in August.,,#N/A
2021 - Beacon Hill - Exterior sliding door motor and gear box,44356,Accrual sheet to be sent to PM in August.,,#N/A
WilliamsBurg - 2021 - Ice Machine,44348,Accrual sheet to be sent to PM in August.,,#N/A
Briarfield Gardens - 2021 - Convection oven,44348,Accrual sheet to be sent to PM in August.,,#N/A
Churchill Place_2021_Slicer,44348,Accrual sheet to be sent to PM in August.,,#N/A
Maplecrest_2021_Steamer,44348,Accrual sheet to be sent to PM in August.,,#N/A
LeasideRetirement - 2021 - Steamer,44348,Accrual sheet to be sent to PM in August.,,#N/A
Alta Vista - 2021 - Convection oven,44348,Accrual sheet to be sent to PM in August.,,#N/A
The Village Srs Multi - 2021 - Steamer,44348,Accrual sheet to be sent to PM in August.,,#N/A
Arbutus - 2021 - Pressure Reducing Valves,New,Completion check to be sent in August.,,#N/A
Northridge DHW Pipe Replacement,43983,Accrual sheet to be sent to PM in August.,,Tim Morrison
AXR JV Elmwood Redevelopment - IT,44357,Accrual sheet to be sent to PM in August.,,#N/A
Remote Management,44357,AXR JC report incorrect - Missing 412.11 from WD transfer,,#N/A
Arbutus - 2020 - Elevator,44348,Accrual sheet to be sent to PM in August.,,#N/A
Capilano - 2021 - HVAC,44348,Accrual sheet to be sent to PM in August.,,#N/A
Fleetwood Villa - 2021 - Corridors,44348,Accrual sheet to be sent to PM in August.,,#N/A
Fleetwood Villa 2021 - Roof Repair,44348,Accrual sheet to be sent to PM in August.,,#N/A
Royal City Manor - 2021 - RTU#1-4 and Kitchen MUA repairs,44348,Accrual sheet to be sent to PM in August.,,#N/A
Sandringham - 2021 - Basement renovation,44348,Accrual sheet to be sent to PM in August.,,#N/A
Colonel By - 2021 - Chiller,44348,Accrual sheet to be sent to PM in August.,,#N/A
Arnprior - 2021 - Gazebo Install,44348,Accrual sheet to be sent to PM in August.,,#N/A
Stittsville - Washing Machine,44348,Accrual sheet to be sent to PM in August.,,#N/A
Williamsburg - 2021 - Exterior FF&E,44348,Accrual sheet to be sent to PM in August.,,#N/A
Beechwood - 2021- Hvac repair 1,44348,Accrual sheet to be sent to PM in August.,,#N/A
Windermere - heat pump repair - 2021,44348,Accrual sheet to be sent to PM in August.,,#N/A
Kensington- 2020 project - 2021,44348,Accrual sheet to be sent to PM in August.,,#N/A
Centennial Place - 2021 - Localized roof repair,44348,Accrual sheet to be sent to PM in August.,,#N/A
Victoria Place - 2021 - Fire panel repair,44348,Accrual sheet to be sent to PM in August.,,#N/A
Bough Beeches-Mop sink repair-2021,44348,Accrual sheet to be sent to PM in August.,,#N/A
Briarfield Gardens - 2021 - HVAC,44348,Accrual sheet to be sent to PM in August.,,#N/A
Windermere-Heat-pump replacement 2 -2021,44348,Accrual sheet to be sent to PM in August.,,#N/A
Grandwood-interior repairs-2021,44348,Accrual sheet to be sent to PM in August.,,#N/A
Our Parents Home - 2021 - Boiler & Heating repairs,44348,Accrual sheet to be sent to PM in August.,,#N/A
Our Parents Home - 2021 - Injection Valve,44348,Accrual sheet to be sent to PM in August.,,#N/A
McConachie Gardens - 2021 - Elevators,44348,Accrual sheet to be sent to PM in August.,,#N/A
Parkview Place Care Centre - 2021 - Consultation on Interior Reno (x12 floors),44348,Accrual sheet to be sent to PM in August.,,#N/A
The Churchill - 2021 - Replace PVM kit on DHW heater,44348,Accrual sheet to be sent to PM in August.,,#N/A
The Edgemont - 2021 - BFP repair (irrigation)),44348,Accrual sheet to be sent to PM in August.,,#N/A
The Edgemont - 2021 - BFP repair (fire suppression),44348,Accrual sheet to be sent to PM in August.,,#N/A
Bow-Crest - 2021 - Evaporator replacement (WIC),44348,Accrual sheet to be sent to PM in August.,,#N/A
South Terrace - 2021 - Spa Room,44348,Accrual sheet to be sent to PM in August.,,#N/A
Mount Royal - 2021 - Suite FF&E,44348,Accrual sheet to be sent to PM in August.,,#N/A
McKenzie Towne - 2021 - Nursing FF&E,44348,Accrual sheet to be sent to PM in August.,,#N/A
Jasper Place - 2021 - Beds,44348,Accrual sheet to be sent to PM in August.,,#N/A
McKenzie Towne - 2021 - FF&E,44348,Accrual sheet to be sent to PM in August.,,#N/A
Cedarcroft - 2021 - HVAC MUA  invoice,44348,Accrual sheet to be sent to PM in August.,,#N/A
Landmark – 2021 - Plumbing  - Recirl pump,44348,Accrual sheet to be sent to PM in August.,,#N/A
Port Perry - 2021 - Laundry,44348,Accrual sheet to be sent to PM in August.,,#N/A
Landmark Court - 2021 - PTACs,44348,Accrual sheet to be sent to PM in August.,,#N/A
Landmark Court - 2021 -FF&E,44348,Accrual sheet to be sent to PM in August.,,#N/A
2021-Sherwood - Kitchen plumbing replacement,44348,Accrual sheet to be sent to PM in August.,,#N/A
Donway - 2021 - Boiler Burners,44348,Accrual sheet to be sent to PM in August.,,#N/A
The Claremont - 2021 - Washing Machine,44348,Accrual sheet to be sent to PM in August.,,#N/A
Annex - 2021 - Sump Pump,44348,Accrual sheet to be sent to PM in August.,,#N/A
Main Street Terrace-2021-FF&E Move LIne,44348,Accrual sheet to be sent to PM in August.,,#N/A
Blenheim-2021-FF&E Move Line,44348,Accrual sheet to be sent to PM in August.,,#N/A
Forest Heights-2021-FF&E Move Line,44348,Accrual sheet to be sent to PM in August.,,#N/A
McGarrell Place-2021-FF&E Move Line,44348,Accrual sheet to be sent to PM in August.,,#N/A
Charlotte Villa - StairwellsF,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Humber Valley Terrace - 2021 - Q2/Q4 Minor Capital Fund C,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Site Switches,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Columbia Forest-2021-Mixing Valve,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Sumac Lodge - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,#N/A
Elginwood - Q2/Q4 - IPAC Capital Fund,Not Completed as of Aug,,,#N/A
Standard Recreation iPads - LTC,44088,Accrual sheet to be sent to PM in November,,Wayne Frias
Menustream AXR BE,44256,Accrual sheet to be sent to PM in November,,Wayne Frias
MenuStream Pilot,43983,Accrual sheet to be sent to PM in November,,Wayne Frias
AXR Menustream,44357,Accrual sheet to be sent to PM in November,,Wayne Frias
Scenic Grande Operations,Development Project,,,Vanessa 
The Scenic Grande Operations,Development Project,,,Vanessa 
The Scenic Grande - IT,Development Project,,,Vanessa 
AXR Mag Lock Upgrades,44044,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
AXR CO Detectors,44044,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
McKenzie Towne Fire Safety Upgrade,43983,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
92938712,Not Complete as of 08/31/2021,Completion Check to be sent in November,,Trevor Shoemaker
Riverbend Exterior Upgrades,43983,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
CO Detectors - WT,44166,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
Scenic Acres - Elevator Moder,44002,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
McConachie Gardens Dish Washing Room,44256,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
The Churchill Chiller & MUA,44348,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
Chateau Renoir - 2021 - Boiler Plant Upgrades,44439,Completion check to be sent in August.,,Trevor Shoemaker
Mount Royal - 2021 - CCTV camera upgrades,44348,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
Our Parents Home - 2021 - Cooling tower sump heater,44348,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
The Churchill - 2021 - Generator,44348,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
Aspen Ridge - 2021 - Exit Door Security Upgrades,44348,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
Scenic Acres - 2021 - AHU coil replacement*,Not Complete as of 08/31/2021,Completion Check to be sent in November,,Trevor Shoemaker
Mount Royal - 2021 - Lifts,44348,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
Jasper Place - 2021 - Commercial Washer bearing repair,44348,Accrual sheet to be sent to PM in August.,,Trevor Shoemaker
Miller Crossing - 2021 - Mattresses,44348,Accrual sheet to be sent to PM in August.,,#N/A
"Our Parents Home - 2021 - Feather Flags, poles & Hardware",44439,Completion check to be sent in August.,,Trevor Shoemaker
McConachie Gardens - 2021 - Landscaping,44439,Completion check to be sent in August.,,Trevor Shoemaker
McConachie Gardens - 2021 - outdoor storage,Not Complete as of 08/31/2021,Completion Check to be sent in November,,Trevor Shoemaker
McConachie Gardens - 2021 - Blinds,44439,Completion check to be sent in August.,,Trevor Shoemaker
The Churchill - 2021 - Elevator,Not Complete as of 08/31/2021,Completion check to be sent in August.,,Trevor Shoemaker
The Churchill - 2021 - EMCS replacement,44439,Completion check to be sent in August.,,#N/A
The Churchill - 2021 - HVAC,44439,Completion check to be sent in August.,,#N/A
Inglewood - 2021 - Exterior Structure,44439,Completion check to be sent in August.,,#N/A
Evergreen - 2021 - Reno Coating Flooring,44439,Completion check to be sent in August.,,#N/A
McKenzie Towne - 2021 - Receiving/storage area,44439,Completion check to be sent in August.,,#N/A
Chateau Renoir - 2021 - Interlock,44439,Completion check to be sent in August.,,#N/A
Chateau Renoir - 2021 - Dry Sprinkler Flush,44439,Completion check to be sent in August.,,Trevor Shoemaker
Riverbend - 2021 - DHW,Not Complete as of 08/31/2021,Completion Check to be sent in November,,Trevor Shoemaker
Evergreen - 2021 - AHU Controls Upgrade,44439,Completion check to be sent in August.,,#N/A
Riverview Fire System,44439,Completion check to be sent in August.,,#N/A
South Terrace - 2021 - Slings,New project. Completion check not sent.,Completion Check to be sent in November,,Trevor Shoemaker
South Terrace - 2021 - Beds and Mattresses,44439,Completion check to be sent in August.,,#N/A
Riverview Place - 2021 - FAP and Devices,Not Complete as of 08/31/2021,Completion Check to be sent in November,,Trevor Shoemaker
Bow Crest - 2021 - Roof,44439,Completion check to be sent in August.,,Trevor Shoemaker
South Terrace - 2021 - Generator main breaker,New project. Completion check not sent.,Completion Check to be sent in November,,Trevor Shoemaker
South Terrace - 2021 - Elevator,Not Complete as of 08/31/2021,Completion Check to be sent in November,,Trevor Shoemaker
Jasper Place - 2021 - Doors,Not Complete as of 08/31/2021,Completion Check to be sent in November,,Trevor Shoemaker
Riverview Place - 2021 - FF&E,44439,Completion check to be sent in August.,,#N/A
Chateau Renoir - 2021 - LED lighting upgrades,New project. Completion check not sent.,Completion Check to be sent in November,,Trevor Shoemaker
Meadowlands - 2021 - Garburator replacement,New project. Completion check not sent.,Completion Check to be sent in November,,Trevor Shoemaker
Evergreen - 2021 - Thermal Scan,New project. Completion check not sent.,Completion Check to be sent in November,,Trevor Shoemaker
Miller Crossing - 2021 - various HVAC repairs,New project. Completion check not sent.,Completion Check to be sent in November,,Trevor Shoemaker
McKenzie Towne Care - 2021 - Trane economizer repairs,New project. Completion check not sent.,Completion Check to be sent in November,,Trevor Shoemaker
"Bow Crest - 2021 - 2.5"" 3 way mixing valve repair",New project. Completion check not sent.,Completion Check to be sent in November,,Trevor Shoemaker
LTC & RET Network Switch,44357,Checked project. Difference is zero.,,Toni Chamoun
Workday ERP System,44256,Accrual sheet to be sent to PM in August.,,Toni Chamoun
FIS Integrity Treasury System,44044,Accrual sheet to be sent to PM in August.,,Toni Chamoun
MS Teams Deployment,44166,Accrual sheet to be sent to PM in August.,,Toni Chamoun
2020 Workday Project,44256,Accrual sheet to be sent to PM in August.,,Toni Chamoun
BookJane,44256,Checked project. Difference is zero.,,Toni Chamoun
Sec ID Mgmt,44256,Checked project. Difference is zero.,,Toni Chamoun
AXR Site Switches Refresh,44357,AXR JC report incorrect - Investigate,,Toni Chamoun
AXR MB Site Switches Refresh,44357,AXR JC report incorrect - Investigate,,Toni Chamoun
PRJ-2020-000618,44256,Accrual sheet to be sent to PM in August.,,Toni Chamoun
AXR JV Elmwood Redevelopment - IT-DNU,44357,Development Not Complete,,Toni Chamoun
SQL Migration,44357,Checked project. Difference is zero.,,Toni Chamoun
2021 SO Endpoint Device Security Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
2021 LTC Network Monitoring Solution - IMC Expansion Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
2021 LTC-JV Network Monitoring Solution - IMC Expansion Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
2021 RET Network Monitoring Solution - IMC Expansion Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
2021 RET-JV Network Monitoring Solution - IMC Expansion Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
2021 SO Network Monitoring Solution - IMC Expansion Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
Elmwood Redevelopment-IT,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
2021 RET Endpoint Device Security Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
2021 RET-JV Endpoint Device Security Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
2021 LTC Endpoint Device Security Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
2021 LTC-JV Endpoint Device Security Capital,Not Complete as of 08/27/2021,Completion Check to be sent in November,,Toni Chamoun
Burloak Rooftop Patio,43983,Accrual sheet to be sent to PM in August.,,Adam Moy
Burloak Sprinkler/Fire Panel,44462,Completion Check sent 08/25/2021,,Tim Morrison
Village on the Ridge Parking Lot,44462,Completion Check sent 08/25/2021,,#N/A
Northridge Parking Lot,Not Complete as of 09/23/2021,Completion check to be sent in November,,Tim Morrison
Ridgeview Parking,Not Complete as of 09/23/2021,Completion check to be sent in November,,Tim Morrison
Kilean Lodge Parking Lot,44462,Completion Check sent 08/25/2021,,Tim Morrison
Garden City Manor Parking Lot,44462,Completion Check sent 08/25/2021,,Tim Morrison
The Village Seniors Parking Lot,44462,Completion Check sent 08/25/2021,,Tim Morrison
Telfer Place Atruim Elevator,Not Complete as of 09/23/2021,Completion check to be sent in November,,Tim Morrison
Burloak Balcony,Not Complete as of 09/23/2021,Completion check to be sent in November,,Tim Morrison
Telfer Place Twer 2 & 3 window,44248,Accrual sheet to be sent to PM in August.,,Tim Morrison
Summit Place Tower Elevator,44355,Accrual sheet sent 08/25/2021,,Tim Morrison
Sumac Lodge - 2021 - Q2/Q4 Minor Capital Fund C,N/A - Minor Capital Fund,N/A - Minor Capital Fund,,#N/A
Summit Place - 2021 - Q2/Q4 Minor Capital Fund C,N/A - Minor Capital Fund,N/A - Minor Capital Fund,,Tim Morrison
Garden City Manor - 2021 - Q2/Q4 Minor Capital Fund C,N/A - Minor Capital Fund,N/A - Minor Capital Fund,,Tim Morrison
Telfer Place Multi - 2021 - Elevator,Not Complete as of 09/23/2021,Completion check to be sent in November,,Tim Morrison
Garden City Manor-2019-Insurance Claim,44355,Accrual sheet sent 08/25/2021,,Tim Morrison
Summit Place - 2021 - Elevator,44355,Accrual sheet sent 08/25/2021,,Tim Morrison
Kilean Lodge - 2021 - Q2/Q4 Minor Capital Fund C,N/A - Minor Capital Fund,N/A - Minor Capital Fund,,Tim Morrison
Brierwood Court-2021-Siding Caulking,44462,Completion Check sent 08/25/2021,,#N/A
The Village Seniors-2021-Plumbing-HW Boiler,44462,Completion Check sent 08/25/2021,,#N/A
Pinecrest Manor-2021-Fan Forced Wall Heater Replacement,44462,Completion Check sent 08/25/2021,,#N/A
Pinecrest Manor-2021-Roof,44462,Completion Check sent 08/25/2021,,Tim Morrison
Village on the Ridge-2021-Boiler Repairs,44462,Completion Check sent 08/25/2021,,#N/A
Telfer Place-2021-Exterior Lighting,44462,Completion Check sent 08/25/2021,,#N/A
Brierwood Court Apts-2021-Riser/Recirc Plumbing Repairs,44462,Completion Check sent 08/25/2021,,Tim Morrison
Brierwood Court Apts-2021-Expansion Tank,44462,Completion Check sent 08/25/2021,,Tim Morrison
Brierwood Gardens-2021-Roof,44462,Completion Check sent 08/25/2021,,Tim Morrison
Blenheim-2021-Roof Repair,44462,Completion Check sent 08/25/2021,,Tim Morrison
Brierwood Gardens-2021-Main Annunciator,44462,Completion Check sent 08/25/2021,,Tim Morrison
Forest Heights - 2021 - Suite Refreshes,44462,Completion Check sent 08/25/2021,,Tim Morrison
Village on the Ridge-2021-LTC Dining Room,44462,Completion Check sent 08/25/2021,,#N/A
Kilean Lodge - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,#N/A
Kilean Lodge - 2021 - IPAC Q2,N/A - IPAC,N/A - IPAC,,Tim Morrison
Telfer Place - 2021 - Q2/Q4 Minor Capital Fund C,N/A - Minor Capital Fund,N/A - Minor Capital Fund,,Tim Morrison
Telfer Place-2021-Boiler Room Piping,44462,Completion Check sent 08/25/2021,,Tim Morrison
McGarrell Place-2021-Annunciator #4,44462,,,#N/A
Northridge-2021-Valance Lighting,44462,,,Tim Morrison
West Oak Village-2021-Nurse Call,44462,,,Tim Morrison
Columbia Forest-2021-BF Protectors,New project. Completion check not sent.,Completion check to be sent in August.,,Tim Morrison
Columbia Forest-2021-Plumbing,44462,Completion Check sent 08/25/2021,,Tim Morrison
Ridgeview-2021-HVAC RHU #1,44462,Completion Check sent 08/25/2021,,Tim Morrison
Stirling Heights-2021-RTUs #2 & #8,44462,Completion Check sent 08/25/2021,,#N/A
Riverside Place-2021-Plumbing,Not Complete as of 09/23/2021,Completion check to be sent in November,,Tim Morrison
Columbia Forest-2021-New Washers-Dryers,44462,Completion Check sent 08/25/2021,,#N/A
Stirling Heights-2021-MUA #1 Components,44462,Completion Check sent 08/25/2021,,#N/A
Stirling Heights-2021-Troy Fire Deficiencies,44462,Completion Check sent 08/25/2021,,#N/A
West Oak-2021-Plumbing-Coupling,44462,Completion Check sent 08/25/2021,,Tim Morrison
Village on the Ridge - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,Tim Morrison
Summit Place - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,Tim Morrison
Dover Cliffs - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,Tim Morrison
Pinecrest Manor - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,#N/A
Blenheim Multi - 2021 - Auto scrubber,44462,Completion Check sent 08/25/2021,,#N/A
The Village Seniors-2021-Elevator CAT 5,44462,Completion Check sent 08/25/2021,,#N/A
Village on the Ridge-2021-HW Recirc Pump,44462,Completion Check sent 08/25/2021,,#N/A
Hillside Manor - 2021 - Tub,Not Complete as of 09/23/2021,Completion check to be sent in November,,Tim Morrison
Hillside Manor - 2021 - RTUs,44462,Completion Check sent 08/25/2021,,Tim Morrison
Trillium Court-2021-AC Condenser #4,44462,,,#N/A
Village on the Ridge - 2021 - Q2/Q4 Minor Capital Fund C,N/A - Minor Capital Fund,N/A - Minor Capital Fund,,Tim Morrison
Village on the Ridge-2021-Room 718 Bathroom,44462,Completion Check sent 08/25/2021,,Tim Morrison
Forest Heights - 2021 - Q2/Q4 Minor Capital Fund C,N/A - Minor Capital Fund,N/A - Minor Capital Fund,,#N/A
Brierwood Gardens-2021-LED Lighting,44462,Completion Check sent 08/25/2021,,Tim Morrison
Garden City Manor-2021-Annual Deficiencies,44462,Completion Check sent 08/25/2021,,#N/A
Brierwood Gardens-2021-Annual Deficiencies,44462,Completion Check sent 08/25/2021,,#N/A
Brierwood Court-2021-Annual Deficiencies,44462,Completion Check sent 08/25/2021,,#N/A
The Village Seniors-2021-Elevator Interlocks,44462,Completion Check sent 08/25/2021,,Tim Morrison
Trillium Court-2021-Generator Upgrades,44462,,,#N/A
Riverbend Place-2021-2021 Annual Deficiencies,44462,Completion Check sent 08/25/2021,,Tim Morrison
