Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
Montfort - 2021 - Fan Coils (Thermostat & Actuator Motors,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Montfort - 2021 - Boiler (Isolating Valves),New Project,Completion Check to be sent in November,,#N/A
Carlingview - 2021 - Q2/Q4 Minor Capital Fund C,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Stoneridge Manor - Q2/Q4 - IPAC Capital Fund,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Prince of Wales - 2021 - Laundry Room Reno,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Colonel By - 2021 - Pipe Replacement,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Colonel by - 2021 - Electrical,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Bridlewood Manor - 2021 - Resident balconies,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
The Westwood - 2021 - Canvas Connector (RTU),New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Reach View Village - 2021 - Ice Machine,New Project,Completion Check to be sent in November,,Lee Dunlop
Hillside Manor-2021-Fire J`ockey Pump,New Project,Completion Check to be sent in November,,Tim Morrison
The Village Srs Multi - 2021 - Courtyard Rebuild and Lounge Furniture,New Project,Completion Check to be sent in November,,Tim Morrison
Forest Heights-2021-Walkin Freezer/Fridge Extras,New Project,Completion Check to be sent in November,,Tim Morrison
2021 SO New SFTP on SharePoint Capital,New Project,Completion Check to be sent in November,,Toni Chamoun
2021 SO New SFTP on SharePoint Operating,New Project,Completion Check to be sent in November,,Toni Chamoun
Trillium Court-2021-Mixing Valve,New Project,Completion Check to be sent in November,,Tim Morrison
The Village Seniors-2021-New Fire Door,New Project,Completion Check to be sent in November,,Tim Morrison
The Village Seniors-2021-Apt Tower Balcony Engineering Fees,New Project,Completion Check to be sent in November,,Tim Morrison
Green Falls Landing - 2021 - Patio Umbrella,New Project,Completion Check to be sent in November,,Malcolm Holbrow
